epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2067.03,0.81645,0.37419,0.0035,0.93698,0.89339,0.95769,0.76804,0.79434,0.39848,0.00528,0.000581,0.000581,0.000581
45,2112.38,0.82716,0.37926,0.00363,0.95193,0.88486,0.959,0.76678,0.78781,0.39091,0.00525,0.000548,0.000548,0.000548
46,2157.06,0.83022,0.38496,0.00361,0.95742,0.911,0.95676,0.77026,0.77681,0.38453,0.00514,0.000515,0.000515,0.000515
47,2201.93,0.79966,0.36545,0.00349,0.94338,0.90832,0.95644,0.77458,0.79157,0.38603,0.00516,0.000482,0.000482,0.000482
48,2247.31,0.80694,0.35521,0.0035,0.94717,0.91258,0.9634,0.78109,0.76678,0.36241,0.00492,0.000449,0.000449,0.000449
49,2292.5,0.78307,0.33622,0.00333,0.96391,0.90618,0.96561,0.77881,0.77215,0.35366,0.00505,0.000416,0.000416,0.000416
50,2338.07,0.77993,0.36552,0.00332,0.92237,0.92751,0.95808,0.78068,0.78088,0.36296,0.00519,0.000383,0.000383,0.000383
51,2385.89,0.75045,0.32001,0.00402,0.93121,0.92964,0.95944,0.78415,0.75526,0.35635,0.00485,0.00035,0.00035,0.00035
52,2430.42,0.73479,0.29672,0.00396,0.92755,0.92537,0.95664,0.78275,0.75359,0.36515,0.00473,0.000317,0.000317,0.000317
53,2473.45,0.72592,0.31041,0.00394,0.949,0.91252,0.95693,0.77859,0.75798,0.35626,0.00475,0.000284,0.000284,0.000284
54,2516.18,0.7103,0.29171,0.00371,0.94517,0.91896,0.95848,0.78558,0.74894,0.35548,0.00466,0.000251,0.000251,0.000251
55,2560.07,0.7035,0.28881,0.00367,0.94344,0.92472,0.9589,0.78153,0.76141,0.35281,0.00484,0.000218,0.000218,0.000218
56,2603.56,0.71482,0.29056,0.0038,0.92956,0.92859,0.96011,0.78852,0.75065,0.35628,0.00469,0.000185,0.000185,0.000185
57,2647.66,0.69194,0.27388,0.00365,0.94111,0.91993,0.95816,0.78238,0.75471,0.35971,0.00467,0.000152,0.000152,0.000152
58,2689.84,0.69636,0.27507,0.00353,0.95257,0.91471,0.96156,0.7867,0.75016,0.35208,0.00465,0.000119,0.000119,0.000119
59,2732.39,0.69093,0.28105,0.0036,0.95326,0.91327,0.96036,0.78752,0.73738,0.35288,0.00456,8.6e-05,8.6e-05,8.6e-05
60,2775.43,0.68894,0.28099,0.00353,0.95193,0.89979,0.95845,0.78587,0.74256,0.36208,0.0046,5.3e-05,5.3e-05,5.3e-05
